image_path,image_timestamp,robot_timestamp,time_difference_s,timestamp,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,datetime
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/top/zed_49045152_left_1747200969.279.jpg,1747200969.279,1747200969.301,0.02200007438659668,1747200969.301,23.49,37.51,-6.75,28.19,54.87,-49.47,185.09,109.91,149.4,-156.13,-2.22,123.07,2025-05-14 14:36:09.301
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/top/zed_49045152_right_1747200969.279.jpg,1747200969.279,1747200969.301,0.02200007438659668,1747200969.301,23.49,37.51,-6.75,28.19,54.87,-49.47,185.09,109.91,149.4,-156.13,-2.22,123.07,2025-05-14 14:36:09.301
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/front/zed_41182735_left_1747200969.301.jpg,1747200969.301,1747200969.301,0.0,1747200969.301,23.49,37.51,-6.75,28.19,54.87,-49.47,185.09,109.91,149.4,-156.13,-2.22,123.07,2025-05-14 14:36:09.301
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/front/zed_41182735_right_1747200969.301.jpg,1747200969.301,1747200969.301,0.0,1747200969.301,23.49,37.51,-6.75,28.19,54.87,-49.47,185.09,109.91,149.4,-156.13,-2.22,123.07,2025-05-14 14:36:09.301
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/right/zed_49429257_right_1747200969.340.jpg,1747200969.34,1747200969.341,0.0010001659393310547,1747200969.341,23.47252427588985,37.490582528766495,-6.825728137810668,28.168640781643145,54.96320386192082,-49.4389320460264,185.11912620685027,109.86922331040964,149.64077664329545,-156.12029126438324,-2.22,123.06805825287664,2025-05-14 14:36:09.341
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/right/zed_49429257_left_1747200969.340.jpg,1747200969.34,1747200969.341,0.0010001659393310547,1747200969.341,23.47252427588985,37.490582528766495,-6.825728137810668,28.168640781643145,54.96320386192082,-49.4389320460264,185.11912620685027,109.86922331040964,149.64077664329545,-156.12029126438324,-2.22,123.06805825287664,2025-05-14 14:36:09.341
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/left/zed_44377151_left_1747200969.580.jpg,1747200969.58,1747200969.577,0.003000020980834961,1747200969.577,23.387573987286235,37.39343198304831,-7.189704050855061,28.067573987286234,55.41213006356882,-49.2892899788104,185.2607100211896,109.67100597033456,150.80153816527894,-156.07585799576208,-2.224142004237922,123.06,2025-05-14 14:36:09.577
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/left/zed_44377151_right_1747200969.580.jpg,1747200969.58,1747200969.577,0.003000020980834961,1747200969.577,23.387573987286235,37.39343198304831,-7.189704050855061,28.067573987286234,55.41213006356882,-49.2892899788104,185.2607100211896,109.67100597033456,150.80153816527894,-156.07585799576208,-2.224142004237922,123.06,2025-05-14 14:36:09.577
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/front/zed_41182735_right_1747200969.694.jpg,1747200969.694,1747200969.696,0.002000093460083008,1747200969.696,23.356,37.35,-7.332,28.03,55.586,-49.228,185.316,109.59,151.26,-156.06199999999998,-2.23,123.058,2025-05-14 14:36:09.696
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/front/zed_41182735_left_1747200969.694.jpg,1747200969.694,1747200969.696,0.002000093460083008,1747200969.696,23.356,37.35,-7.332,28.03,55.586,-49.228,185.316,109.59,151.26,-156.06199999999998,-2.23,123.058,2025-05-14 14:36:09.696
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/right/zed_49429257_left_1747200969.705.jpg,1747200969.705,1747200969.706,0.0010001659393310547,1747200969.706,23.349,37.34,-7.368,28.02,55.629,-49.212,185.329,109.57,151.375,-156.058,-2.23,123.057,2025-05-14 14:36:09.706
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/right/zed_49429257_right_1747200969.705.jpg,1747200969.705,1747200969.706,0.0010001659393310547,1747200969.706,23.349,37.34,-7.368,28.02,55.629,-49.212,185.329,109.57,151.375,-156.058,-2.23,123.057,2025-05-14 14:36:09.706
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/top/zed_49045152_right_1747200969.711.jpg,1747200969.711,1747200969.706,0.004999876022338867,1747200969.706,23.349,37.34,-7.368,28.02,55.629,-49.212,185.329,109.57,151.375,-156.058,-2.23,123.057,2025-05-14 14:36:09.706
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/top/zed_49045152_left_1747200969.711.jpg,1747200969.711,1747200969.706,0.004999876022338867,1747200969.706,23.349,37.34,-7.368,28.02,55.629,-49.212,185.329,109.57,151.375,-156.058,-2.23,123.057,2025-05-14 14:36:09.706
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/left/zed_44377151_left_1747200969.915.jpg,1747200969.915,1747200969.916,0.0009999275207519531,1747200969.916,23.24681321099764,37.20461541283058,-7.859340550510635,27.892417614663515,56.22252733951299,-49.00582422016234,185.49978018350356,109.29483522932703,152.9390106423672,-156.0034066054988,-2.24,123.04780220183294,2025-05-14 14:36:09.916
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/left/zed_44377151_right_1747200969.915.jpg,1747200969.915,1747200969.916,0.0009999275207519531,1747200969.916,23.24681321099764,37.20461541283058,-7.859340550510635,27.892417614663515,56.22252733951299,-49.00582422016234,185.49978018350356,109.29483522932703,152.9390106423672,-156.0034066054988,-2.24,123.04780220183294,2025-05-14 14:36:09.916
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/right/zed_49429257_left_1747200969.971.jpg,1747200969.971,1747200969.966,0.004999876022338867,1747200969.966,23.230329646145226,37.18538458716942,-7.933516592346509,27.870439528193625,56.31318694620128,-48.97560435126624,185.52450553078216,109.25087905638723,153.17527507191852,-155.9951648230726,-2.24,123.0450549410242,2025-05-14 14:36:09.966
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/right/zed_49429257_right_1747200969.971.jpg,1747200969.971,1747200969.966,0.004999876022338867,1747200969.966,23.230329646145226,37.18538458716942,-7.933516592346509,27.870439528193625,56.31318694620128,-48.97560435126624,185.52450553078216,109.25087905638723,153.17527507191852,-155.9951648230726,-2.24,123.0450549410242,2025-05-14 14:36:09.966
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/front/zed_41182735_left_1747200970.018.jpg,1747200970.018,1747200970.016,0.0019998550415039062,1747200970.016,23.213846159892267,37.16615385320764,-8.007692280484802,27.84846154652302,56.40384612059253,-48.94538462646916,185.5492307601616,109.20692309304604,153.41153837487752,-155.9869230799461,-2.24,123.04230769331538,2025-05-14 14:36:10.016
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/front/zed_41182735_right_1747200970.018.jpg,1747200970.018,1747200970.016,0.0019998550415039062,1747200970.016,23.213846159892267,37.16615385320764,-8.007692280484802,27.84846154652302,56.40384612059253,-48.94538462646916,185.5492307601616,109.20692309304604,153.41153837487752,-155.9869230799461,-2.24,123.04230769331538,2025-05-14 14:36:10.016
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/top/zed_49045152_right_1747200970.043.jpg,1747200970.043,1747200970.046,0.003000020980834961,1747200970.046,23.20395606814049,37.15461541283057,-8.052197693367777,27.835274757520654,56.45824162522728,-48.92725279159091,185.56406589778925,109.18054951504132,153.55329635665294,-155.98197803407024,-2.24,123.04065934469008,2025-05-14 14:36:10.046
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/top/zed_49045152_left_1747200970.043.jpg,1747200970.043,1747200970.046,0.003000020980834961,1747200970.046,23.20395606814049,37.15461541283057,-8.052197693367777,27.835274757520654,56.45824162522728,-48.92725279159091,185.56406589778925,109.18054951504132,153.55329635665294,-155.98197803407024,-2.24,123.04065934469008,2025-05-14 14:36:10.046
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/front/zed_41182735_right_1747200970.255.jpg,1747200970.255,1747200970.259,0.003999948501586914,1747200970.259,23.11850391513056,37.04850391513056,-8.42811031826041,27.73850391513056,56.92173238191249,-48.76488185147848,185.6793701060868,108.95913380904376,154.7579530184333,-155.94212597878263,-2.2478740212173607,123.03212597878264,2025-05-14 14:36:10.259
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/front/zed_41182735_left_1747200970.255.jpg,1747200970.255,1747200970.259,0.003999948501586914,1747200970.259,23.11850391513056,37.04850391513056,-8.42811031826041,27.73850391513056,56.92173238191249,-48.76488185147848,185.6793701060868,108.95913380904376,154.7579530184333,-155.94212597878263,-2.2478740212173607,123.03212597878264,2025-05-14 14:36:10.259
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/right/zed_49429257_right_1747200970.307.jpg,1747200970.307,1747200970.306,0.0009999275207519531,1747200970.306,23.100270276539863,37.02702703538648,-8.50540537614731,27.718108115770946,57.01513509960745,-48.73162163346419,185.7029729646135,108.91297299038852,155.00486477151762,-155.93567567846216,-2.25,123.02891891961552,2025-05-14 14:36:10.306
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/right/zed_49429257_left_1747200970.307.jpg,1747200970.307,1747200970.306,0.0009999275207519531,1747200970.306,23.100270276539863,37.02702703538648,-8.50540537614731,27.718108115770946,57.01513509960745,-48.73162163346419,185.7029729646135,108.91297299038852,155.00486477151762,-155.93567567846216,-2.25,123.02891891961552,2025-05-14 14:36:10.306
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/left/zed_44377151_right_1747200970.371.jpg,1747200970.371,1747200970.376,0.004999876022338867,1747200970.376,23.06621624442938,36.98162165923917,-8.664324192662892,27.67648652096924,57.20810794823351,-48.66729735058883,185.74837834076084,108.81837845674828,155.51189147182922,-155.92054055307972,-2.25,123.02513513826992,2025-05-14 14:36:10.376
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/left/zed_44377151_left_1747200970.371.jpg,1747200970.371,1747200970.376,0.004999876022338867,1747200970.376,23.06621624442938,36.98162165923917,-8.664324192662892,27.67648652096924,57.20810794823351,-48.66729735058883,185.74837834076084,108.81837845674828,155.51189147182922,-155.92054055307972,-2.25,123.02513513826992,2025-05-14 14:36:10.376
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/top/zed_49045152_right_1747200970.394.jpg,1747200970.394,1747200970.396,0.0019998550415039062,1747200970.396,23.05648652096924,36.96864869462566,-8.709729568810202,27.664594636740187,57.26324304784096,-48.64891898405301,185.76135130537435,108.79135144713678,155.65675624334682,-155.91621623154188,-2.25,123.02405405788546,2025-05-14 14:36:10.396
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/top/zed_49045152_left_1747200970.394.jpg,1747200970.394,1747200970.396,0.0019998550415039062,1747200970.396,23.05648652096924,36.96864869462566,-8.709729568810202,27.664594636740187,57.26324304784096,-48.64891898405301,185.76135130537435,108.79135144713678,155.65675624334682,-155.91621623154188,-2.25,123.02405405788546,2025-05-14 14:36:10.396
/home/najo/NAS/DIP/datasets/meca_insertion/vla_dataset3_hand2/right/zed_49429257_left_1747200970.587.jpg,1747200970.587,1747200970.582,0.004999876022338867,1747200970.582,22.98,36.87,-9.06,27.57,57.69,-48.5,185.86,108.57,156.78,-155.89,-2.25,123.02,2025-05-14 14:36:10.582
